#,name,FP,WG,IG,wts,WU
0,features.0,33.461,33.818,37.027,6912,0.145
1,features.3,31.404,41.609,31.527,294912,0.051
2,features.6,22.457,28.758,21.947,1179648,0.049
3,features.8,40.038,44.926,39.83,2359296,0.052
4,features.11,18.607,21.103,18.841,4718592,0.048
5,features.13,36.74,40.181,33.468,9437184,0.053
6,features.16,8.904,9.353,8.357,9437184,0.051
7,features.18,9.07,9.568,8.492,9437184,0.049
8,classifier.0,14.866,13.087,11.023,411041792,1.243
9,classifier.3,2.029,2.119,1.953,67108864,0.23
10,classifier.6,0.632,0.667,0.505,16384000,0.062
